matchNo,Date,Time,Team1,Team2,Score1,Score2,Note,﻿Date,Date.2,Match No.,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official,Attendance,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name,﻿matchNo,season_label,season_start_year,season_end_year,stage,source_file
,10.01.2014,20:00,Al Ahli SC,Al-Nahda,3,1,,,,,,,,,17,,,,,,,,,,,,119,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,16.01.2014,15:30,Al-Shoalah,Al-Nassr,0,3,,,,,,,,,18,,,,,,,,,,,,120,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,16.01.2014,15:40,Al-Taawon,Al-Ittihad FC,1,1,,,,,,,,,18,,,,,,,,,,,,121,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,16.01.2014,20:05,Al-Hilal,Al Ahli SC,1,0,,,,,,,,,18,,,,,,,,,,,,122,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,16.01.2014,20:05,Al-Ettifaq,Najran,0,0,,,,,,,,,18,,,,,,,,,,,,123,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,17.01.2014,15:30,Al-Shabab,Al-Faisaly,4,3,,,,,,,,,18,,,,,,,,,,,,124,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,17.01.2014,15:45,Al Orubah,Al-Fateh,2,1,,,,,,,,,18,,,,,,,,,,,,125,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,17.01.2014,20:05,Al-Nahda,Al-Raed,1,0,,,,,,,,,18,,,,,,,,,,,,126,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,24.01.2014,15:35,Al-Shabab,Al-Ettifaq,0,0,,,,,,,,,19,,,,,,,,,,,,127,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,24.01.2014,15:40,Al-Faisaly,Al-Fateh,2,1,,,,,,,,,19,,,,,,,,,,,,128,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,24.01.2014,15:45,Al-Taawon,Al-Shoalah,0,1,,,,,,,,,19,,,,,,,,,,,,129,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,24.01.2014,20:10,Al Ahli SC,Al-Ittihad FC,2,1,,,,,,,,,19,,,,,,,,,,,,130,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,25.01.2014,15:45,Al-Raed,Al-Hilal,0,1,,,,,,,,,19,,,,,,,,,,,,131,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,25.01.2014,15:50,Najran,Al-Nahda,5,1,,,,,,,,,19,,,,,,,,,,,,132,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,25.01.2014,20:10,Al-Nassr,Al Orubah,2,1,,,,,,,,,19,,,,,,,,,,,,133,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,28.01.2014,20:15,Al-Hilal,Al-Taawon,1,0,,,,,,,,,20,,,,,,,,,,,,134,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,28.01.2014,20:15,Al-Fateh,Al-Nassr,1,2,,,,,,,,,20,,,,,,,,,,,,135,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,30.01.2014,15:40,Al-Shoalah,Al Ahli SC,1,1,,,,,,,,,20,,,,,,,,,,,,136,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,30.01.2014,20:15,Najran,Al-Shabab,1,1,,,,,,,,,20,,,,,,,,,,,,137,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,30.01.2014,20:15,Al-Nahda,Al-Ettifaq,2,0,,,,,,,,,20,,,,,,,,,,,,138,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,30.01.2014,20:15,Al Orubah,Al-Raed,0,0,,,,,,,,,20,,,,,,,,,,,,139,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,31.01.2014,20:15,Al-Ittihad FC,Al-Faisaly,1,2,,,,,,,,,20,,,,,,,,,,,,140,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.02.2014,20:20,Al-Shabab,Al-Hilal,1,0,,,,,,,,,21,,,,,,,,,,,,141,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.02.2014,20:20,Al-Raed,Al Ahli SC,0,1,,,,,,,,,21,,,,,,,,,,,,142,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.02.2014,20:20,Al Orubah,Najran,1,1,,,,,,,,,21,,,,,,,,,,,,143,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,07.02.2014,20:20,Al-Taawon,Al-Nahda,4,1,,,,,,,,,21,,,,,,,,,,,,144,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,07.02.2014,20:20,Al-Nassr,Al-Faisaly,4,0,,,,,,,,,21,,,,,,,,,,,,145,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,07.02.2014,20:20,Al-Fateh,Al-Shoalah,3,1,,,,,,,,,21,,,,,,,,,,,,146,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,07.02.2014,20:20,Al-Ettifaq,Al-Ittihad FC,2,5,,,,,,,,,21,,,,,,,,,,,,147,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,13.02.2014,20:25,Al-Shoalah,Al Orubah,1,2,,,,,,,,,22,,,,,,,,,,,,148,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,13.02.2014,20:25,Al-Shabab,Al-Taawon,1,0,,,,,,,,,22,,,,,,,,,,,,149,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,13.02.2014,20:25,Al-Hilal,Najran,2,0,,,,,,,,,22,,,,,,,,,,,,150,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,13.02.2014,20:25,Al-Faisaly,Al-Raed,3,2,,,,,,,,,22,,,,,,,,,,,,151,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,14.02.2014,20:25,Al-Ittihad FC,Al-Nahda,2,1,,,,,,,,,22,,,,,,,,,,,,152,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,14.02.2014,20:25,Al-Ettifaq,Al-Nassr,1,2,,,,,,,,,22,,,,,,,,,,,,153,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,14.02.2014,20:25,Al Ahli SC,Al-Fateh,4,0,,,,,,,,,22,,,,,,,,,,,,154,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,21.02.2014,20:20,Najran,Al-Fateh,1,1,,,,,,,,,23,,,,,,,,,,,,155,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,21.02.2014,20:20,Al-Nassr,Al-Hilal,3,4,,,,,,,,,23,,,,,,,,,,,,156,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,21.02.2014,20:20,Al-Nahda,Al-Shabab,4,1,,,,,,,,,23,,,,,,,,,,,,157,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,21.02.2014,20:20,Al-Ittihad FC,Al-Raed,1,2,,,,,,,,,23,,,,,,,,,,,,158,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,22.02.2014,15:55,Al-Taawon,Al Ahli SC,1,1,,,,,,,,,23,,,,,,,,,,,,159,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,22.02.2014,20:20,Al-Shoalah,Al-Faisaly,1,1,,,,,,,,,23,,,,,,,,,,,,160,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,22.02.2014,20:20,Al Orubah,Al-Ettifaq,1,4,,,,,,,,,23,,,,,,,,,,,,161,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,22.03.2014,20:25,Al-Raed,Al-Taawon,0,0,,,,,,,,,24,,,,,,,,,,,,162,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,22.03.2014,20:25,Al-Nahda,Al Orubah,2,2,,,,,,,,,24,,,,,,,,,,,,163,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,22.03.2014,20:25,Al-Faisaly,Najran,1,0,,,,,,,,,24,,,,,,,,,,,,164,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,23.03.2014,20:25,Al-Nassr,Al-Ittihad FC,3,1,,,,,,,,,24,,,,,,,,,,,,165,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,23.03.2014,20:25,Al-Hilal,Al-Shoalah,2,0,,,,,,,,,24,,,,,,,,,,,,166,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,23.03.2014,20:25,Al-Fateh,Al-Ettifaq,2,0,,,,,,,,,24,,,,,,,,,,,,167,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,23.03.2014,20:25,Al Ahli SC,Al-Shabab,1,1,,,,,,,,,24,,,,,,,,,,,,168,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,28.03.2014,20:35,Najran,Al Ahli SC,0,5,,,,,,,,,25,,,,,,,,,,,,169,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,28.03.2014,20:35,Al-Shabab,Al-Nassr,1,1,,,,,,,,,25,,,,,,,,,,,,170,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,28.03.2014,20:35,Al-Raed,Al-Fateh,2,1,,,,,,,,,25,,,,,,,,,,,,171,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,28.03.2014,20:35,Al-Ittihad FC,Al-Shoalah,4,1,,,,,,,,,25,,,,,,,,,,,,172,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,28.03.2014,20:35,Al-Hilal,Al-Nahda,6,0,,,,,,,,,25,,,,,,,,,,,,173,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,28.03.2014,20:35,Al-Ettifaq,Al-Faisaly,1,1,,,,,,,,,25,,,,,,,,,,,,174,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,28.03.2014,20:35,Al Orubah,Al-Taawon,0,0,,,,,,,,,25,,,,,,,,,,,,175,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.04.2014,20:35,Najran,Al-Ittihad FC,2,0,,,,,,,,,26,,,,,,,,,,,,176,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.04.2014,20:35,Al-Taawon,Al-Nassr,1,1,,,,,,,,,26,,,,,,,,,,,,177,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.04.2014,20:35,Al-Shoalah,Al-Raed,1,1,,,,,,,,,26,,,,,,,,,,,,178,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.04.2014,20:35,Al-Shabab,Al Orubah,1,3,,,,,,,,,26,,,,,,,,,,,,179,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.04.2014,20:35,Al-Fateh,Al-Hilal,0,1,,,,,,,,,26,,,,,,,,,,,,180,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.04.2014,20:35,Al-Faisaly,Al-Nahda,2,1,,,,,,,,,26,,,,,,,,,,,,181,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,06.04.2014,20:35,Al Ahli SC,Al-Ettifaq,2,1,,,,,,,,,26,,,,,,,,,,,,182,2013-2014,2013,2014,FS,SPL-2013-2014-FS.csv
,08.08. 2014,20:45,Al-Ittihad FC,Al-Faisaly,2,1,,,,,,,,,2,,,,,,,,,,,,1,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,08.08.2014,20:45,Al-Hilal,Al Orubah,4,1,,,,,,,,,2,,,,,,,,,,,,2,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,13.08.2014,20:50,Al-Shoalah,Al-Hilal,1,3,,,,,,,,,1,,,,,,,,,,,,3,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,13.08.2014,20:50,Al-Ittihad FC,Al-Fateh,1,0,,,,,,,,,1,,,,,,,,,,,,4,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,15.08.2014,19:40,Al Orubah,Al-Taawon,4,3,,,,,,,,,1,,,,,,,,,,,,5,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,15.08.2014,20:50,Al-Faisaly,Al-Raed,1,0,,,,,,,,,1,,,,,,,,,,,,6,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,15.08.2014,21:15,Al-Nassr,Najran,4,1,,,,,,,,,1,,,,,,,,,,,,7,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,16.08.2014,20:50,Al-Shabab,Al Khaleej,2,0,,,,,,,,,1,,,,,,,,,,,,8,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,16.08.2014,20:50,Al Ahli SC,Hajer,6,1,,,,,,,,,1,,,,,,,,,,,,9,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,22.08.2014,18:50,Hajer,Al-Taawon,2,0,,,,,,,,,2,,,,,,,,,,,,10,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,22.08.2014,18:50,Al Khaleej,Al-Shoalah,1,1,,,,,,,,,2,,,,,,,,,,,,11,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,23.08.2014,20:45,Najran,Al Ahli SC,1,1,,,,,,,,,2,,,,,,,,,,,,12,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,23.08.2014,20:45,Al-Raed,Al-Nassr,1,2,,,,,,,,,2,,,,,,,,,,,,13,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,23.08.2014,20:45,Al-Fateh,Al-Shabab,0,2,,,,,,,,,2,,,,,,,,,,,,14,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,29.08.2014,18:45,Al-Fateh,Al-Faisaly,1,2,,,,,,,,,3,,,,,,,,,,,,15,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,29.08.2014,20:40,Al-Shabab,Hajer,2,0,,,,,,,,,3,,,,,,,,,,,,16,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.08.2014,19:25,Al Orubah,Al-Raed,2,1,,,,,,,,,3,,,,,,,,,,,,17,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.08.2014,20:40,Al-Taawon,Najran,0,0,,,,,,,,,3,,,,,,,,,,,,18,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.08.2014,20:40,Al Khaleej,Al-Nassr,0,1,,,,,,,,,3,,,,,,,,,,,,19,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,31.08.2014,18:55,Al-Shoalah,Al-Ittihad FC,1,3,,,,,,,,,3,,,,,,,,,,,,20,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,31.08.2014,20:40,Al-Hilal,Al Ahli SC,0,0,,,,,,,,,3,,,,,,,,,,,,21,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,11.09.2014,18:45,Al-Faisaly,Hajer,2,0,,,,,,,,,4,,,,,,,,,,,,22,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,11.09.2014,20:25,Al-Raed,Al-Taawon,0,0,,,,,,,,,4,,,,,,,,,,,,23,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,12.09.2014,20:25,Al-Shabab,Al-Shoalah,2,1,,,,,,,,,4,,,,,,,,,,,,24,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,12.09.2014,20:25,Al-Ittihad FC,Al Orubah,2,1,,,,,,,,,4,,,,,,,,,,,,25,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,12.09.2014,20:25,Al-Hilal,Najran,2,1,,,,,,,,,4,,,,,,,,,,,,26,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,13.09.2014,20:25,Al-Nassr,Al-Fateh,4,2,,,,,,,,,4,,,,,,,,,,,,27,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,13.09.2014,20:25,Al Ahli SC,Al Khaleej,2,1,,,,,,,,,4,,,,,,,,,,,,28,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,17.09.2014,18:20,Hajer,Al-Raed,2,1,,,,,,,,,5,,,,,,,,,,,,29,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,17.09.2014,19:00,Al Orubah,Al-Faisaly,1,1,,,,,,,,,5,,,,,,,,,,,,30,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,17.09.2014,20:20,Al Ahli SC,Al-Shabab,0,0,,,,,,,,,5,,,,,,,,,,,,31,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,18.09.2014,20:20,Al-Taawon,Al-Fateh,1,2,,,,,,,,,5,,,,,,,,,,,,32,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,18.09.2014,20:20,Al-Shoalah,Al-Nassr,1,2,,,,,,,,,5,,,,,,,,,,,,33,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,19.09.2014,20:20,Najran,Al-Ittihad FC,1,2,,,,,,,,,5,,,,,,,,,,,,34,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,19.09.2014,20:20,Al-Hilal,Al Khaleej,3,0,,,,,,,,,5,,,,,,,,,,,,35,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,24.09.2014,20:15,Al-Fateh,Al-Hilal,1,2,,,,,,,,,6,,,,,,,,,,,,36,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,26.09.2014,20:15,Al-Raed,Al-Ittihad FC,0,1,,,,,,,,,6,,,,,,,,,,,,37,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,27.09.2014,18:25,Al-Shoalah,Al Ahli SC,0,2,,,,,,,,,6,,,,,,,,,,,,38,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,27.09.2014,18:30,Al-Faisaly,Al-Taawon,2,2,,,,,,,,,6,,,,,,,,,,,,39,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,27.09.2014,20:15,Al-Shabab,Najran,2,1,,,,,,,,,6,,,,,,,,,,,,40,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,28.09.2014,18:10,Al Khaleej,Hajer,2,2,,,,,,,,,6,,,,,,,,,,,,41,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,28.09.2014,20:15,Al-Nassr,Al Orubah,2,1,,,,,,,,,6,,,,,,,,,,,,42,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,16.10.2014,17:50,Hajer,Al Orubah,1,0,,,,,,,,,7,,,,,,,,,,,,43,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,16.10.2014,18:20,Najran,Al-Faisaly,0,1,,,,,,,,,7,,,,,,,,,,,,44,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,16.10.2014,19:55,Al-Taawon,Al-Shoalah,3,0,,,,,,,,,7,,,,,,,,,,,,45,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,17.10.2014,17:50,Al-Fateh,Al-Raed,3,2,,,,,,,,,7,,,,,,,,,,,,46,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,17.10.2014,19:55,Al-Ittihad FC,Al Khaleej,2,1,,,,,,,,,7,,,,,,,,,,,,47,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,17.10.2014,19:55,Al-Hilal,Al-Shabab,0,1,,,,,,,,,7,,,,,,,,,,,,48,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,18.10.2014,19:55,Al Ahli SC,Al-Nassr,2,1,,,,,,,,,7,,,,,,,,,,,,49,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,24.10.2014,17:45,Hajer,Najran,0,3,,,,,,,,,8,,,,,,,,,,,,50,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,24.10.2014,18:30,Al Orubah,Al Khaleej,2,2,,,,,,,,,8,,,,,,,,,,,,51,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,24.10.2014,19:50,Al-Faisaly,Al-Shabab,1,3,,,,,,,,,8,,,,,,,,,,,,52,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,25.10.2014,18:00,Al-Shoalah,Al-Fateh,1,0,,,,,,,,,8,,,,,,,,,,,,53,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,25.10.2014,19:50,Al-Raed,Al Ahli SC,2,4,,,,,,,,,8,,,,,,,,,,,,54,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,25.10.2014,20:00,Al-Nassr,Al-Ittihad FC,2,1,,,,,,,,,8,,,,,,,,,,,,55,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.10.2014,17:35,Al Khaleej,Al-Fateh,2,2,,,,,,,,,9,,,,,,,,,,,,56,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.10.2014,19:45,Al-Taawon,Al-Nassr,0,1,,,,,,,,,9,,,,,,,,,,,,57,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.10.2014,19:45,Al-Shabab,Al-Raed,0,0,,,,,,,,,9,,,,,,,,,,,,58,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.10.2014,19:45,Al Ahli SC,Al Orubah,2,0,,,,,,,,,9,,,,,,,,,,,,59,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,31.10.2014,18:10,Najran,Al-Shoalah,3,1,,,,,,,,,9,,,,,,,,,,,,60,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,31.10.2014,19:45,Al-Ittihad FC,Hajer,0,1,,,,,,,,,9,,,,,,,,,,,,61,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,29.11.2014,14:55,Al-Fateh,Najran,2,1,,,,,,,,,10,,,,,,,,,,,,62,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,29.11.2014,15:05,Al-Shoalah,Al Orubah,0,0,,,,,,,,,10,,,,,,,,,,,,63,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,29.11.2014,17:50,Al-Raed,Al Khaleej,1,2,,,,,,,,,10,,,,,,,,,,,,64,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.11.2014,19:35,Hajer,Al-Nassr,0,4,,,,,,,,,10,,,,,,,,,,,,65,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.11.2014,19:35,Al-Shabab,Al-Taawon,1,2,,,,,,,,,10,,,,,,,,,,,,66,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,30.11.2014,19:35,Al Ahli SC,Al-Faisaly,1,1,,,,,,,,,10,,,,,,,,,,,,67,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,01.12.2014,19:45,Al-Ittihad FC,Al-Hilal,0,0,,,,,,,,,10,,,,,,,,,,,,68,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,04.12.2014,17:25,Al Khaleej,Najran,0,1,,,,,,,,,11,,,,,,,,,,,,69,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,04.12.2014,17:45,Al-Shoalah,Hajer,3,1,,,,,,,,,11,,,,,,,,,,,,70,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,04.12.2014,19:35,Al-Nassr,Al-Faisaly,0,0,,,,,,,,,11,,,,,,,,,,,,71,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,04.12.2014,19:35,Al-Fateh,Al Ahli SC,0,1,,,,,,,,,11,,,,,,,,,,,,72,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,05.12.2014,15:20,Al-Taawon,Al-Ittihad FC,4,3,,,,,,,,,11,,,,,,,,,,,,73,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,05.12.2014,15:30,Al Orubah,Al-Shabab,0,0,,,,,,,,,11,,,,,,,,,,,,74,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,05.12.2014,19:35,Al-Hilal,Al-Raed,3,1,,,,,,,,,11,,,,,,,,,,,,75,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,09.12.2014,19:35,Al-Hilal,Al-Taawon,3,1,,,,,,,,,8,,,,,,,,,,,,76,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,12.12.2014,14:55,Hajer,Al-Fateh,2,1,,,,,,,,,12,,,,,,,,,,,,77,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,12.12.2014,15:00,Al-Faisaly,Al Khaleej,1,2,,,,,,,,,12,,,,,,,,,,,,78,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,12.12.2014,19:40,Al-Taawon,Al Ahli SC,1,4,,,,,,,,,12,,,,,,,,,,,,79,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,12.12.2014,19:40,Al-Ittihad FC,Al-Shabab,0,1,,,,,,,,,12,,,,,,,,,,,,80,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,13.12.2014,15:05,Al-Raed,Al-Shoalah,1,0,,,,,,,,,12,,,,,,,,,,,,81,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,13.12.2014,15:30,Najran,Al Orubah,2,0,,,,,,,,,12,,,,,,,,,,,,82,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,13.12.2014,19:40,Al-Nassr,Al-Hilal,1,0,,,,,,,,,12,,,,,,,,,,,,83,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,19.12.2014,15:15,Al-Shabab,Al-Nassr,0,3,,,,,,,,,13,,,,,,,,,,,,84,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,19.12.2014,15:15,Al-Faisaly,Al-Shoalah,0,0,,,,,,,,,13,,,,,,,,,,,,85,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,19.12.2014,17:30,Hajer,Al-Hilal,1,1,,,,,,,,,13,,,,,,,,,,,,86,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,19.12.2014,20:15,Al Ahli SC,Al-Ittihad FC,1,1,,,,,,,,,13,,,,,,,,,,,,87,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,20.12.2014,15:00,Al Khaleej,Al-Taawon,0,3,,,,,,,,,13,,,,,,,,,,,,88,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,20.12.2014,15:30,Al Orubah,Al-Fateh,1,2,,,,,,,,,13,,,,,,,,,,,,89,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,21.12.2014,17:55,Al-Raed,Najran,3,2,,,,,,,,,13,,,,,,,,,,,,90,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,28.01.2015,20:15,Al-Faisaly,Al-Hilal,2,2,,,,,,,,,9,,,,,,,,,,,,91,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,05.02.2015,16:00,Najran,Al-Nassr,0,4,,,,,,,,,14,,,,,,,,,,,,92,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,05.02.2015,18:05,Hajer,Al Ahli SC,0,3,,,,,,,,,14,,,,,,,,,,,,93,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,05.02.2015,20:30,Al Khaleej,Al-Shabab,1,0,,,,,,,,,14,,,,,,,,,,,,94,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,06.02.2015,18:05,Al-Fateh,Al-Ittihad FC,2,2,,,,,,,,,14,,,,,,,,,,,,95,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
,06.02.2015,20:30,Al-Hilal,Al-Shoalah,2,1,,,,,,,,,14,,,,,,,,,,,,96,2014-2015,2014,2015,FS,SPL-2014-2015-FS.csv
